parameter,mean,std
main_lens_parameter_theta_E,0.9174719000266387,0.08561415943281935
main_lens_parameter_gamma_1,0.016062968532090983,0.032173665483701944
main_lens_parameter_gamma_2,0.004580909255376603,0.03443619551683817
main_lens_parameter_gamma,1.9865047322234517,0.05640019185908685
main_lens_parameter_e1,-0.014346274440091058,0.08156918831298689
main_lens_parameter_e2,0.026471056513347375,0.11334945240283856
corr_func_parameter_As0,8.937329679496309e-05,3.6381518903396064e-05
corr_func_parameter_n0,-0.23715606469749134,0.04752446677123907
corr_func_parameter_As2,-5.46857241361696e-06,2.1849648082103315e-06
corr_func_parameter_n2,0.7442778212515428,0.08636944274578705
